Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~schematic_sim7600.PrjPcb|ReportField=ProjectFullPath~C:\Users\hoait\Desktop\schematic_sim7600\schematic_sim7600.PrjPcb|ReportField=Title~Bill of Materials For Project [schematic_sim7600.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~94|ReportField=ReportTime~12:09:21 AM|ReportField=ReportDate~1/23/2021|ReportField=ReportDateTime~1/23/2021 12:09:21 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~1/23/2021|ReportField=CurrentTime~12:06:59 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\hoait\Desktop\schematic_sim7600\sche_sim7600.SchDoc|ReportField=DocumentName~sche_sim7600.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~1/8/2021|ReportField=Organization~|ReportField=ProjectName~schematic_sim7600.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~schematic_sim7600.PrjPcb|ReportField=DataSourceFullPath~C:\Users\hoait\Desktop\schematic_sim7600\schematic_sim7600.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|2SC3052||BJT2, BJT3, BJT4, BJT5, BJT?|SOT23-3|2SC3052|5
2|100uF|Dán|C1, C2, C11, C12, C19|tu 0603|Tu 0603 103 50V 10%|5
3|10uF|CAP CER 2.2UF 25V X5R 0402|C3, C32|SMD-0402C|ZRB157R61E225KE11D|2
4|1uF|CAP CER 2.2UF 25V X5R 0402|C4, C6, C21|SMD-0402C|ZRB157R61E225KE11D|3
5|22nF|CAP CER 2.2UF 25V X5R 0402|C5|SMD-0402C|ZRB157R61E225KE11D|1
6|100nF|CAP CER 2.2UF 25V X5R 0402|C7, C13, C14, C27, C31, C36, C37, C38|SMD-0402C|ZRB157R61E225KE11D|8
7|0.1uF|CAP CER 2.2UF 25V X5R 0402|C8, C22|SMD-0402C|ZRB157R61E225KE11D|2
8|10nF|CAP CER 2.2UF 25V X5R 0402|C9|SMD-0402C|ZRB157R61E225KE11D|1
9|3.3nF|CAP CER 2.2UF 25V X5R 0402|C10|SMD-0402C|ZRB157R61E225KE11D|1
10|100uF|CAP CER 2.2UF 25V X5R 0402|C18|SMD-0402C|ZRB157R61E225KE11D|1
11|1uF|Dán|C20|tu 0603|Tu 0603 103 50V 10%|1
12|4.7uF|CAP CER 2.2UF 25V X5R 0402|C23|SMD-0402C|ZRB157R61E225KE11D|1
13|33pF|CAP CER 2.2UF 25V X5R 0402|C24, C25, C26, C29|SMD-0402C|ZRB157R61E225KE11D|4
14|22pF|CAP CER 2.2UF 25V X5R 0402|C28|SMD-0402C|ZRB157R61E225KE11D|1
15|2.2µF|CAP CER 2.2UF 25V X5R 0402|C30|SMD-0402C|ZRB157R61E225KE11D|1
16|22uF|CAP CER 2.2UF 25V X5R 0402|C33|SMD-0402C|ZRB157R61E225KE11D|1
17|NC|Dán|C34, C35|tu 0603|Tu 0603 22pF 50V 10%|2
18|SMF05C|12.5V Clamp 8A _8/20Âµs_ Ipp Tvs Diode Surface Mount SC-88/SC70-6/SOT-363|D|SC70-6|SMF05C|1
19|5.1V|Dán|D1|DIODE ZENNER SMD SOD80|Diode Zener 5.1V|1
20|IPX||J1, J2|PCBComponent_1|IPX|2
21|Conn_Amphenol_C707-10M006-500-2_eec|CONN SIM/SAM CARD HINGED TYPE|J?|Amphenol_C707-10M006-500-2_0|Conn_Amphenol_C707-10M006-500-2_eec|1
